Report ID,faultfrac,reasoning
30610-13662,0.00,Truck reversed into stopped AV
30610-13661,0.00,AV braked for debris and was rear-ended by merging pickup
30610-13660,0.05,Other cars made illegal right turn across AV path
30270-13511,0.05,Passing van struck stationary AV during overtake
30270-13308,0.05,Pickup changed back into AV lane while passing
30270-13557,0.00,Heavy truck reversed into stationary AV
30270-13549,0.00,SUV rear-ended stationary AV at red light
30270-13554,0.00,Heavy truck rolled forward into stationary AV
30270-13564,0.00,Scooter struck AV while AV was stopped yielding to pedestrians
30270-13548,0.10,Box truck crossed solid line into AV turn path
30270-13515,0.00,Vehicle ahead reversed into stationary AV
30270-13510,0.50,Both vehicles changed lanes into each other
30270-13453,0.00,Bus reversed into stationary AV
30270-13450,0.00,Passing SUV sideswiped parked AV
30270-13451,0.00,Passing pickup struck stationary AV on narrow street
30270-13420,0.05,SUV from behind struck AV after stop-sign slowdown
30270-13410,0.00,Pickup reversing to park struck stationary AV
30270-13448,0.00,Van reversed into stationary AV
30270-13403,0.10,Other SUV crossed dashed line during parallel left turn
30270-13405,0.15,Counterpart went straight from right-turn-only lane
30270-13409,0.10,Other SUV crossed dashed line during parallel left turn
30270-13395,0.00,Passenger car rear-ended stationary AV
30270-13454,0.70,AV moved left to merge while cable car was passing
30270-13340,0.00,Pickup reversed from driveway into stationary AV
30270-13307,0.10,Pickup turned across AV curbside right-turn path
30270-13489,0.20,Truck continued reversing into AV despite AV reverse attempt
30270-13401,0.00,Vehicle ahead reversed into stationary AV
30270-13400,0.00,Oncoming car passing left struck stationary AV
30270-13408,0.00,Car changing lanes to pass struck stationary AV
30270-13416,0.00,Passenger car rear-ended stationary AV
30270-13331,0.00,SUV rear-ended stationary AV at flashing red
30270-13361,0.00,Turning heavy truck crossed centerline into stationary AV
30270-13327,0.00,Heavy truck trailer reversed into stationary AV
30270-13309,0.00,Passing car hit parked AV during maneuver-around
30270-13323,0.00,SUV reversed into stationary AV
30270-13322,0.00,E-bike entered stop-controlled intersection and hit stationary AV
30270-13321,0.60,AV passenger door opening contributed to motorcycle contact
30270-13279,0.00,Passenger car rear-ended stationary AV in queue
30270-13445,0.00,Parallel-parking car reversed into parked AV
13781-13647,0.90,Redacted narrative and crash with fixed object while AV proceeding
13781-13648,0.10,Redacted narrative with AV stopped and counterpart turning right
13781-13646,0.95,Redacted narrative and AV backing into fixed object class
13781-13645,1.00,Redacted narrative and AV backing into pole/tree
13781-13644,0.90,Redacted narrative with counterpart parked and AV proceeding
30270-13607,0.05,Traffic cone was thrown into AV lane by another vehicle occupant
30270-13586,0.05,Passenger car ran stop sign and entered AV path
30270-13585,0.00,Stationary AV struck via chain-reaction collision
30270-13583,0.90,AV undercarriage struck raised pavement in travel lane
30270-13581,0.00,Passing heavy truck sideswiped stationary AV
30270-13582,0.10,Passenger car ran stop sign and struck AV rear quarter
30270-13575,0.05,Counterpart lost traction and crossed into AV lane
30270-13573,0.05,Stationary AV struck by moving counterpart
30270-13571,0.05,Stationary AV struck by moving counterpart
30270-13560,0.05,Stationary AV struck by moving counterpart
30270-13559,0.90,AV contacted fixed roadway/object hazard
30270-13556,0.05,Stationary AV struck by moving counterpart
30270-13552,0.90,AV contacted fixed roadway/object hazard
30270-13550,0.00,Stationary AV struck after trailing SUV was rear-ended
30270-13558,0.10,Following car struck AV from behind during unprotected-left yield
30270-13547,0.05,Stationary AV struck by moving counterpart
30270-13545,0.00,Counterpart failed to yield to stationary AV
30270-13546,0.10,Counterpart right turn crossed AV path
30270-13544,0.05,Stationary AV struck by moving counterpart
30270-13543,0.05,Stationary AV struck by moving counterpart
30270-13542,0.00,Counterpart backed into stationary AV
30270-13541,0.35,AV stopped partially across lane during lane-change attempt
30270-13540,0.05,Stationary AV struck by moving counterpart
30270-13539,0.05,Counterpart maneuvered into stationary AV
30270-13538,0.60,Open AV passenger door was struck by passing car
30270-13514,0.25,AV contacted fallen utility line hanging in lane
30270-13513,0.00,Counterpart backed into stationary AV
30270-13512,0.00,Passing heavy truck struck stationary AV on narrow street
30270-13507,0.05,Counterpart maneuvered into stationary AV
30270-13495,0.05,Stationary AV struck by moving counterpart
30270-13491,0.05,Stationary AV struck by moving counterpart
30270-13490,0.05,SUV struck AV from behind while AV was slowing for flashing red
30270-13506,0.35,AV tire contacted roadway debris in travel lane
30270-13509,0.25,AV contacted fallen utility line in travel lane
30270-13488,0.10,Cross-traffic vehicle entered intersection and struck AV side
30270-13487,0.90,AV contacted fixed roadway/object hazard
30270-13486,0.00,AV stopped and was rear-ended by following car
30270-13485,0.90,AV contacted fixed roadway/object hazard
30270-13484,0.05,Counterpart turned right from stop-controlled approach into AV path
30270-13467,0.90,AV contacted fixed roadway/object hazard
30270-13452,0.05,Counterpart maneuvered into stationary AV
30270-13449,0.05,Stationary AV struck by moving counterpart
30270-13444,0.05,Stationary AV struck by moving counterpart
30270-13443,0.90,AV contacted fixed roadway/object hazard
30270-13447,0.15,Object fell from truck trailer into AV lane
30270-13442,0.05,Stationary AV struck by moving counterpart
30270-13399,0.05,Stationary AV struck by moving counterpart
30270-13388,0.05,Stationary AV struck by moving counterpart
30270-13402,0.05,Stationary AV struck by moving counterpart
30270-13396,0.40,AV turn entry and counterpart passing maneuver both contributed
30270-13407,0.05,Stationary AV struck by moving counterpart
30270-13384,0.05,Stationary AV struck by moving counterpart
30270-13371,0.05,Following car struck AV from behind as AV slowed in intersection
13781-11986,0.50,Redacted narrative with unknown counterpart action while AV proceeding
30270-13372,0.20,AV lane-change maneuver to avoid dog preceded rear-end contact
30270-13370,0.05,Counterpart right turn partially entered AV lane and clipped rear quarter
13781-11375,0.40,Redacted narrative; estimate from CP=Making Right Turn and AV=Making Right Turn
30270-13369,0.15,Counterpart lane change into AV path
30270-13364,0.00,Passenger car rear-ended AV while AV yielded to crosswalk pedestrian
30270-13363,0.00,Wrong-way counterpart entered AV lane and struck AV
30270-13365,0.00,Passing van mirror struck stationary AV
30610-13376,0.00,AV rear-ended while stationary
30270-13373,0.05,Vehicle pulling from driveway moved into AV side path
30270-13310,0.20,Mail truck pulled from curb as AV had just completed lane change
30270-13270,0.40,Domestic animal in lane contact while AV proceeded
30270-13268,0.05,Counterpart right turn crossed into AV lane
30270-13276,0.05,SUV approached from behind and sideswiped slowing AV
30270-13255,0.00,Counterpart reversed into AV after entering on red
30270-13162,0.00,Heavy truck rear-ended stationary AV
30270-13269,0.80,AV initiated left turn from non-turn lane into occupied turn lane
30270-13091,0.70,"AV moved while tow lift was engaging, causing contact"
30270-13056,0.00,Third-party rear-end collision occurred behind stopped AV
30270-13256,0.25,AV contacted fallen utility line after slowing and evasive maneuver
30270-13196,0.05,Counterpart hit another vehicle then deflected into AV
30270-13195,0.00,Stationary SUV was pushed into stationary AV in chain collision
30270-13189,0.05,Stationary AV struck by moving counterpart
30270-13163,0.00,Passenger car rear-ended stationary AV in queue
30270-13165,0.00,Passenger car rear-ended stationary AV yielding to pedestrian
30270-13164,0.00,Counterpart backed into stationary AV
30270-13155,0.00,Bus completing right turn struck parked AV while passing
30270-13129,0.00,Passenger car rear-ended stationary AV at red light
30270-13090,0.25,AV proceeded as gate was opening into travel path
30270-13088,0.00,Following SUV struck AV rear during turn-start stop-and-go
30270-13328,0.20,Counterpart passed during AV right turn; mostly counterpart fault
30270-13254,0.00,Counterpart backed into stationary AV
30270-13251,0.05,Following car rear-ended AV as AV slowed for pedestrians
30270-13250,0.00,Counterpart backed into stationary AV
30270-13275,0.00,Passenger car passing from behind struck stationary curbside AV
30270-13236,0.00,SUV rear-ended stationary AV in queue
30270-13235,0.00,Van turning from behind struck stationary AV at stop
30270-13206,0.00,Oncoming heavy truck sideswiped stationary AV while passing narrow segment
30270-13274,0.00,Passing SUV struck stationary AV while maneuvering around queue
30270-13247,0.00,Counterpart backed into stationary AV
30270-13205,0.60,Open AV passenger door was struck by passing SUV
30270-13204,0.05,Counterpart maneuvered into stationary AV
30270-13135,0.05,Reversing trailer contact with AV after AV repositioned in lot
30270-13199,0.20,AV stopped straddling lanes and was struck by following pickup
30270-13312,0.05,Stationary AV struck by moving counterpart
30270-13311,0.05,Reversing SUV from stall struck AV after AV yielded then stopped
30270-13201,0.00,Counterpart backed into stationary AV
30270-13102,0.30,Both vehicles proceeding straight; likely sideswipe/merge conflict
30270-13095,0.15,Object originated from another vehicle
30270-13238,0.00,Counterpart backed into stationary AV
30270-13085,0.10,Counterpart failed to yield / encroached
30270-13066,0.00,Passing bus struck stationary AV while AV yielded in queue
30270-13082,0.10,Bus and AV stop-go interaction with bus side contact into stationary AV
30270-13084,0.35,AV pulled from curb while SUV was passing and moving toward curb; shared conflict
30270-13099,0.00,Counterpart failed to yield to stationary AV
30270-13325,1.00,AV struck raised roadway/sidewalk while turning
30270-13326,0.05,Stationary AV struck by moving counterpart
30270-13324,0.05,Stationary AV struck by moving counterpart
30270-13320,0.05,Counterpart maneuvered into stationary AV
30270-13301,0.05,Stationary AV struck by moving counterpart
30270-13303,0.00,Chain-reaction crash pushed stopped SUV into stopped AV
30270-13302,0.05,Counterpart maneuvered into stationary AV
30270-13300,0.00,Truck trailer encroached and struck stopped AV
30270-13287,0.00,Pickup rear-ended stopped AV
30270-13278,0.00,Counterpart backed into stationary AV
30270-13277,0.00,Counterpart backed into stationary AV
30270-13267,0.10,Counterpart backing maneuver caused collision
30270-13246,1.00,AV maneuvered into bollard while reversing
30270-13244,0.00,Passenger car rear-ended stopped AV
30270-13243,0.00,Bus side-swiped stopped AV during pass
30270-13242,0.00,Bus passing on left struck stopped AV
30270-13241,0.00,Bus in adjacent turn lane struck AV waiting at red
30270-13240,0.05,Passenger car changed lanes into AV path
13781-13237,0.05,Redacted narrative; estimate from CP=Making Right Turn and AV=Stopped
30270-13239,0.20,Rear vehicle hit AV during low-speed left-turn initiation; mostly rear-vehicle fault
30270-13202,0.10,Counterpart backing maneuver caused collision
30270-13194,0.00,Passing car side-swiped parked AV
30270-13197,0.00,Passenger car rear-ended stopped AV in queue
30270-13193,0.80,AV struck fallen street sign in lane at speed
30270-13192,0.00,Speeding passenger car maneuvered into stopped AV
30270-13190,0.00,Passenger car rear-ended stopped AV
30270-13198,0.00,Passenger car rear-ended stopped AV
30270-13167,0.05,Rear vehicle struck AV while AV was slowly yielding at stop sign
30270-13161,0.30,Passenger exited moving vehicle; AV continued rolling onto foot
30270-13148,0.00,Passenger car rear-ended stopped AV at light
30270-13159,0.00,Counterpart backed into stationary AV
30270-13160,1.00,AV undercarriage struck pavement at parking-lot entrance
30270-13137,0.00,Passenger car rear-ended AV stopped for pedestrian
30270-13133,0.30,Both vehicles proceeding straight; likely sideswipe/merge conflict
30270-13144,0.00,Pickup struck parked AV from behind
30270-13130,0.00,Chain-reaction impact pushed stopped passenger car into stopped AV
30270-13128,0.00,Passenger car rear-ended parked AV
30270-13127,0.00,Passing truck trailer clipped stopped AV
30270-13126,0.00,Turning truck trailer struck AV stopped to yield
30270-13100,0.00,Mail truck rear-ended stopped AV
30270-11849,0.00,SUV struck parked AV during curbside drop-off
30270-11887,0.20,SUV passenger opened door into passing AV
30270-11933,0.15,Counterpart lane change into AV path
30270-11865,0.00,Counterpart backed into stationary AV
30270-13092,0.00,Chain-reaction rear-end pushed car into stopped AV
30270-13096,0.80,AV continued into visibly low suspended wire across roadway
30270-12070,0.70,AV departed with cat under vehicle and ran over it
30270-13028,0.00,Counterpart backed into stationary AV
30270-12063,0.00,Lane-changing passenger car sideswiped stopped AV
30270-12062,0.05,Passing car clipped AV as AV slowed with signal for pickup
30270-12042,0.00,Counterpart backed into stationary AV
30270-12008,0.00,Counterpart backed into stationary AV
30270-11949,0.00,Counterpart backed into stationary AV
30270-11957,0.45,AV stopped straddling lanes during lane change and was struck by advancing truck
30270-11955,0.00,Van passing on narrow road clipped stopped AV
30270-11907,0.05,SUV pulled out into AV lane as AV was passing
30270-11928,0.00,Passenger car rear-ended stopped AV in queue
30270-11954,0.05,Stationary AV struck by moving counterpart
30270-11932,0.00,Counterpart backed into stationary AV
30270-13053,0.00,Counterpart backed into stationary AV
30270-11956,0.00,Counterpart backed into stationary AV
30270-11953,0.05,Parked car entered traffic into AV rear quarter
30270-11791,0.00,Turning car hit second car which then struck stopped AV
30270-12019,0.00,Passing heavy truck clipped stopped AV on narrow road
30270-12046,1.00,AV turned directly into movable traffic barrier
30270-12000,0.00,Counterpart backed into stationary AV
30270-11960,0.80,AV passenger opened door into passing car during drop-off
30270-11988,0.00,Counterpart failed to yield to stationary AV
30270-11999,0.00,Basketball rolled into AV tire path
30270-11958,0.00,Counterpart backed into stationary AV
30270-13025,0.10,Following car clipped AV as AV slowed to yield to skateboarder
30270-11906,0.15,AV initiated right turn then stopped again and was rear-ended
30270-11882,0.00,Passing SUV sideswiped stopped AV on narrow street
30610-13123,0.00,Pickup rear-ended slowing AV
30270-13089,0.00,Bus maneuvered into and struck parked AV
30270-13067,0.10,Counterpart backing maneuver caused collision
30270-13065,0.00,Chain-reaction rear-end pushed SUV into stopped AV
30270-13079,0.05,Stationary AV struck by moving counterpart
30270-13081,0.05,Passenger car merged from center lane into AV path
30270-13068,0.00,Bus side-swiped curbside stopped AV
30270-13064,0.10,Counterpart failed to yield / encroached
30270-13063,0.00,Counterpart backed into stationary AV
30270-13060,0.00,Wrong-way passenger car struck stationary AV
30270-13062,0.00,Following car rear-ended AV stopped to yield
30270-13080,0.05,Stationary AV struck by moving counterpart
30270-13055,0.05,SUV left-turn entered AV lane and clipped AV rear quarter
30270-13054,0.05,Pickup rear-ended AV after AV stop-and-go at stop sign
30270-13058,0.35,AV lane change and pickup curb pull-out created shared merge conflict
30270-13024,0.10,Counterpart backing maneuver caused collision
30270-12054,0.00,Passing garbage truck clipped stopped AV on narrow street
30270-12055,0.00,SUV rear-ended stopped AV in queue
30270-13023,0.05,Pickup changed lanes into AV while AV proceeded straight
30270-12061,0.15,SUV rear-ended AV after AV slowed for birds in lane
30270-12048,0.05,Oncoming SUV made unprotected left into AV path
30270-12056,0.10,Motorcycle rear-ended AV while AV slowed for pedestrian
30270-12051,0.00,Oncoming SUV crossed center line into AV lane
30270-12060,0.00,Counterpart backed into stationary AV
30270-12047,0.10,SUV behind AV in split-lane position clipped AV rear while AV slowed
30270-12049,0.00,Counterpart backed into stationary AV
30270-12059,0.00,Tow truck passing on narrow road struck stopped AV
30270-12052,0.00,Passing car sideswiped parked AV in alley
30270-12053,0.00,Pickup rear-ended AV stopped for debris
30270-12045,0.05,Counterpart crossed center line into AV at intersection
30270-12044,0.60,AV proceeded as gate was swinging into lane
30270-12018,0.00,Counterpart backed into stationary AV
30270-12035,1.00,AV undercarriage struck speed bump
30270-12050,0.10,Cyclist rear-ended braking AV at close following distance
30270-12013,0.35,AV stopped partially in lane during curb maneuver and was clipped by passing trailer
30270-12012,0.10,Pickup in adjacent lane clipped AV rear while AV slowed in queue
30270-12011,0.15,AV initiated right turn then stopped again and was rear-ended
30270-12007,0.05,Counterpart maneuvered into stationary AV
30270-11998,0.05,Passenger car rear-ended AV while AV slowed for red light
